tag,name,rank,thLevel,warID,order_,attackerTag,defenderTag,stars,new_stars,destructionPercentage,war_player.defenderTag,defenderName,defenderRank,defenderTH,attacker_is_home_clan,home_clan_tag,home_clan_name,home_clan_level,enemy_clan_tag,enemy_clan_name,enemy_clan_level,war_start_time,war_size,type
#CQVGL9YC,Yokai,32,18,15965486,5,#CQVGL9YC,#889R8CPJV,3,1,100,#889R8CPJV,Queen ®iya,5,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#JGC9PPG2,URBANO JUNIOR,20,18,15965486,6,#JGC9PPG2,#99R2LCP8G,3,3,100,#99R2LCP8G,sonia,20,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#JGC9PPG2,URBANO JUNIOR,20,18,15965486,7,#JGC9PPG2,#G0PL0CU,3,3,100,#G0PL0CU,❤️RHEA❤️,16,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#2V0JCJQRJ,Konoha,31,18,15965486,8,#2V0JCJQRJ,#9V2CYRG0U,3,3,100,#9V2CYRG0U,hema,31,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#PLJQ98000,e Guru,10,18,15965486,9,#PLJQ98000,#9YQGQGRVR,2,2,81,#9YQGQGRVR,Thuthu,1,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#PLJQ98000,e Guru,10,18,15965486,10,#PLJQ98000,#8VJU02QGJ,2,2,78,#8VJU02QGJ,Thuria,2,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#L8LPUYJ2,Rhea,33,17,15965486,11,#L8LPUYJ2,#PRCRPQR9,3,3,100,#PRCRPQR9,Carlinhos 123,34,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#L8LPUYJ2,Rhea,33,17,15965486,12,#L8LPUYJ2,#L2U0GUU9R,3,3,100,#L2U0GUU9R,✨ManuMi✨,35,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#8YPV8LUR,hjadeja,4,18,15965486,13,#8YPV8LUR,#Y209U8J2P,3,3,100,#Y209U8J2P,Mena 2,6,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#9YQGQGRVR,Thuthu,1,18,15965486,14,#9YQGQGRVR,#JVYURU2R,3,3,100,#JVYURU2R,Damini Jaiman,1,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#8VJU02QGJ,Thuria,2,18,15965486,15,#8VJU02QGJ,#Q2QPUPGJ0,3,3,100,#Q2QPUPGJ0,Ishika,3,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#R8VUCJL8,MarceloG,16,18,15965486,16,#R8VUCJL8,#CVLQR098,2,2,99,#CVLQR098,shashi,2,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#LLVCGG9VP,❣️Komal❣️,32,17,15965486,17,#LLVCGG9VP,#GLRG099LU,3,3,100,#GLRG099LU,Zona_lovewar,33,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#9YQGQGRVR,Thuthu,1,18,15965486,18,#9YQGQGRVR,#CVLQR098,3,1,100,#CVLQR098,shashi,2,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#LLVCGG9VP,❣️Komal❣️,32,17,15965486,19,#LLVCGG9VP,#CQVGL9YC,1,1,83,#CQVGL9YC,Yokai,32,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#8VJU02QGJ,Thuria,2,18,15965486,20,#8VJU02QGJ,#8YPV8LUR,3,3,100,#8YPV8LUR,hjadeja,4,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#PGPJ2YJ2C,Komal,18,18,15965486,21,#PGPJ2YJ2C,#9LYR8GRG,2,2,99,#9LYR8GRG,CMN,3,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#9V20PVGUQ,H@cker,26,18,15965486,22,#9V20PVGUQ,#8RLU28RV,3,3,100,#8RLU28RV,Ronson,10,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#8YPV8LUR,hjadeja,4,18,15965486,23,#8YPV8LUR,#22L9CVGQG,1,1,93,#22L9CVGQG,BrazilianHeIIz,4,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#8GJ08CUCR,mahi G,14,18,15965486,24,#8GJ08CUCR,#22L9CVGQG,2,1,69,#22L9CVGQG,BrazilianHeIIz,4,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#8GJ08CUCR,mahi G,14,18,15965486,25,#8GJ08CUCR,#QCQPJV2,3,3,100,#QCQPJV2,Cesar Goulart,5,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#9JGG08QYC,Thurte,28,18,15965486,26,#9JGG08QYC,#8JYPPQYLJ,3,1,100,#8JYPPQYLJ,Rani,7,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#9JGG08QYC,Thurte,28,18,15965486,27,#9JGG08QYC,#2QRQRQQRR,3,3,100,#2QRQRQQRR,Subha,8,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#8JYPPQYLJ,Rani,7,18,15965486,28,#8JYPPQYLJ,#9YQGQGRVR,2,0,69,#9YQGQGRVR,Thuthu,1,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#8JYPPQYLJ,Rani,7,18,15965486,29,#8JYPPQYLJ,#8VJU02QGJ,3,1,100,#8VJU02QGJ,Thuria,2,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#P8GVPCGC2,GAURAV YADAV,27,18,15965486,30,#P8GVPCGC2,#2JJQ28UC,3,3,100,#2JJQ28UC,Emerson,9,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
